age,weight,mane_color,health,alpha
19,204.139,Blonde,Good,0
22,177.37,Dark Brown,Good,0
21,175.229,Blonde,Excelent,0
5,192.382,Reddish-Brown,Excelent,0
21,180.133,Black,Excelent,0
10,229.567,Blonde,Excelent,0
27,192.093,Blonde with Dark Tips,Excelent,0
13,213.931,Sandy,Excelent,0
12,193.401,Blonde,Excelent,0
1,211.879,Blonde,Great,0
5,193.218,Dark Brown,Excelent,0
1,227.632,Blonde with Dark Tips,Excelent,0
6,222.462,Blonde,Great,0
7,227.061,Black,Great,0
16,181.097,Blonde with Dark Tips,Poor,0
14,186.823,Blonde,Great,0
1,170.911,Blonde,Good,0
14,221.98,Dark Brown,Poor,0
10,214.281,Blonde,Great,0
13,207.826,Blonde,Great,0
14,222.224,Blonde with Dark Tips,Great,0
27,206.36,Reddish-Brown,Poor,0
20,173.183,Sandy,Great,0
30,195.004,Sandy,Excelent,0
22,205.062,Blonde with Dark Tips,Excelent,0
27,195.031,Black,Poor,0
2,202.032,Sandy,Great,0
15,176.753,Blonde,Excelent,0
9,225.677,Dark Brown,Great,0
23,212.78,Blonde with Dark Tips,Good,0
7,192.349,Dark Brown,Great,0
10,225.245,Blonde,Great,0
24,175.868,Blonde,Great,0
4,190.441,Blonde with Dark Tips,Great,0
5,227.463,Blonde with Dark Tips,Excelent,0
7,180.283,Dark Brown,Good,0
6,192.42,Blonde,Great,0
15,205.039,Blonde with Dark Tips,Great,0
22,195.304,Blonde,Great,0
18,186.912,Blonde with Dark Tips,Great,0
16,185.275,Blonde,Great,0
10,217.531,Blonde,Great,0
30,183.93,Blonde with Dark Tips,Poor,0
21,179.048,Reddish-Brown,Poor,0
2,196.729,Sandy,Excelent,0
20,211.032,Blonde,Good,0
14,208.364,Black,Excelent,0
3,188.167,Reddish-Brown,Great,0
30,185.659,Dark Brown,Great,0
29,212.769,Dark Brown,Excelent,0
19,211.312,Blonde with Dark Tips,Great,0
3,226.255,Reddish-Brown,Great,0
20,211.811,Dark Brown,Excelent,0
5,193.663,Blonde with Dark Tips,Great,0
23,191.813,Blonde,Good,0
13,192.889,Blonde,Excelent,0
24,221.548,Sandy,Poor,0
8,201.568,Blonde,Great,0
20,172.507,Sandy,Good,0
2,187.273,Dark Brown,Excelent,0
12,211.795,Blonde,Great,0
12,212.459,Dark Brown,Excelent,0
25,206.097,Blonde with Dark Tips,Excelent,0
6,193.527,Sandy,Excelent,0
11,193.437,Blonde with Dark Tips,Excelent,0
23,201.56,Blonde,Great,0
23,176.397,Reddish-Brown,Good,0
9,180.451,Dark Brown,Good,0
1,177.688,Sandy,Excelent,0
30,228.6,Dark Brown,Great,0
10,212.737,Black,Great,0
11,200.79,Blonde,Excelent,0
4,224.146,Black,Poor,0
23,229.826,Black,Great,0
7,223.949,Sandy,Good,0
6,229.723,Black,Excelent,0
30,197.74,Blonde with Dark Tips,Great,0
18,173.388,Blonde,Great,0
26,219.1,Blonde,Excelent,0
20,214.815,Blonde,Great,0
3,202.142,Reddish-Brown,Poor,0
19,191.186,Blonde,Excelent,0
25,186.446,Blonde,Good,0
20,198.342,Reddish-Brown,Great,0
6,212.144,Dark Brown,Great,0
15,227.393,Sandy,Great,0
1,224.055,Black,Great,0
7,199.622,Sandy,Excelent,0
1,224.973,Sandy,Great,0
14,197.139,Sandy,Poor,0
16,215.387,Blonde,Good,0
13,219.209,Blonde with Dark Tips,Good,0
11,209.219,Blonde,Excelent,0
26,177.704,Blonde,Good,0
13,176.632,Sandy,Great,0
14,193.946,Dark Brown,Poor,0
21,226.847,Blonde with Dark Tips,Excelent,0
4,182.687,Black,Great,0
18,196.435,Blonde,Poor,0
2,174.304,Reddish-Brown,Great,0
29,176.06,Black,Good,0
28,225.642,Blonde with Dark Tips,Good,0
25,209.234,Blonde,Excelent,0
16,209.022,Blonde with Dark Tips,Good,0
6,215.665,Sandy,Excelent,0
14,192.758,Black,Great,0
20,171.241,Blonde with Dark Tips,Poor,0
22,208.292,Blonde with Dark Tips,Great,0
10,222.142,Blonde with Dark Tips,Great,0
8,200.132,Sandy,Great,0
3,176.747,Blonde,Excelent,0
8,214.294,Sandy,Poor,0
7,207.907,Black,Good,0
19,184.459,Black,Great,0
14,183.976,Sandy,Great,0
30,201.675,Blonde with Dark Tips,Great,0
16,172.541,Blonde,Great,0
12,201.963,Black,Good,0
17,227.911,Sandy,Great,0
4,209.192,Blonde,Good,0
24,213.914,Dark Brown,Great,0
21,198.017,Dark Brown,Excelent,0
21,194.525,Blonde with Dark Tips,Excelent,0
10,186.573,Blonde,Good,0
24,199.016,Blonde,Great,0
17,208.967,Blonde,Good,0
29,186.699,Blonde,Excelent,0
5,170.359,Blonde,Excelent,0
20,171.959,Sandy,Good,0
22,201.716,Reddish-Brown,Excelent,0
25,204.219,Blonde with Dark Tips,Great,0
26,220.563,Reddish-Brown,Good,0
20,181.495,Reddish-Brown,Good,0
29,204.847,Blonde with Dark Tips,Good,0
17,193.307,Black,Good,0
20,179.68,Blonde with Dark Tips,Excelent,0
16,212.499,Blonde with Dark Tips,Good,0
24,228.649,Sandy,Great,0
25,177.43,Black,Excelent,0
23,196.296,Blonde with Dark Tips,Great,0
28,226.462,Blonde,Excelent,0
27,179.013,Sandy,Excelent,0
17,198.791,Dark Brown,Good,0
19,215.248,Blonde with Dark Tips,Excelent,0
18,201.916,Blonde,Excelent,0
25,219.232,Blonde with Dark Tips,Great,0
13,219.506,Dark Brown,Great,1
26,219.354,Blonde,Good,0
5,222.86,Blonde,Excelent,0
12,189.102,Blonde with Dark Tips,Great,0
20,176.353,Sandy,Good,0
12,189.706,Black,Great,0
26,228.499,Reddish-Brown,Great,0
1,218.785,Sandy,Good,0
8,171.271,Blonde with Dark Tips,Excelent,0
