age,weight,mane_color,health,alpha
9,170.965,Dark Brown,Great,0
2,229.744,Blonde with Dark Tips,Good,0
1,198.514,Blonde with Dark Tips,Great,0
1,210.6,Blonde with Dark Tips,Good,0
13,205.495,Blonde with Dark Tips,Great,0
24,227.691,Blonde with Dark Tips,Great,0
5,220.272,Sandy,Great,0
30,217.111,Black,Great,0
19,222.944,Blonde,Excelent,0
8,208.599,Blonde with Dark Tips,Excelent,0
1,228.395,Blonde with Dark Tips,Great,0
21,192.765,Sandy,Good,0
29,214.269,Blonde,Good,0
13,222.026,Blonde,Great,0
14,176.96,Sandy,Good,0
1,216.857,Reddish-Brown,Poor,0
18,173.701,Black,Great,0
22,178.48,Blonde with Dark Tips,Excelent,0
6,182.038,Sandy,Good,0
15,180.308,Blonde,Excelent,0
3,204.804,Sandy,Great,0
5,196.138,Black,Excelent,0
24,204.972,Sandy,Great,0
10,207.978,Blonde with Dark Tips,Poor,0
24,223.484,Blonde,Excelent,0
7,197.502,Dark Brown,Excelent,0
27,174.915,Blonde with Dark Tips,Excelent,0
3,175.649,Reddish-Brown,Great,0
28,188.679,Blonde,Excelent,0
21,209.418,Sandy,Great,0
29,196.5,Blonde,Poor,0
12,191.178,Blonde,Good,0
5,187.516,Blonde with Dark Tips,Good,0
20,187.309,Dark Brown,Excelent,0
27,199.807,Blonde with Dark Tips,Great,0
7,187.209,Dark Brown,Great,0
18,209.125,Reddish-Brown,Great,1
22,193.216,Reddish-Brown,Poor,0
24,173.244,Black,Great,0
30,189.323,Dark Brown,Good,0
23,171.454,Blonde,Excelent,0
13,206.667,Dark Brown,Great,1
7,184.141,Blonde with Dark Tips,Great,0
8,181.465,Blonde,Great,0
3,206.858,Dark Brown,Great,0
2,214.781,Black,Great,0
9,203.524,Blonde with Dark Tips,Excelent,0
9,218.618,Blonde,Good,0
3,170.845,Sandy,Great,0
9,180.652,Blonde,Great,0
11,180.271,Black,Good,0
4,228.1,Blonde with Dark Tips,Excelent,0
26,170.476,Blonde,Good,0
28,218.336,Blonde with Dark Tips,Good,0
21,181.558,Blonde with Dark Tips,Good,0
26,201.088,Dark Brown,Excelent,0
16,224.162,Dark Brown,Excelent,0
12,221.835,Sandy,Great,0
29,180.415,Blonde,Good,0
1,182.562,Blonde,Great,0
26,211.511,Blonde,Good,0
11,215.817,Blonde,Good,0
21,229.778,Blonde,Good,0
4,217.475,Blonde with Dark Tips,Excelent,0
17,170.755,Blonde,Good,0
2,214.635,Blonde,Excelent,0
20,187.154,Blonde,Great,0
17,191.689,Blonde with Dark Tips,Poor,0
13,192.935,Blonde,Poor,0
13,205.672,Dark Brown,Great,0
23,199.045,Blonde with Dark Tips,Great,0
28,192.721,Black,Good,0
3,220.333,Blonde,Excelent,0
15,215.148,Dark Brown,Excelent,0
22,221.188,Black,Great,0
27,186.181,Reddish-Brown,Good,0
30,178.18,Blonde with Dark Tips,Great,0
28,198.87,Black,Excelent,0
2,178.551,Blonde with Dark Tips,Poor,0
6,222.523,Reddish-Brown,Poor,0
17,181.308,Black,Great,0
15,225.391,Dark Brown,Excelent,0
10,225.106,Blonde with Dark Tips,Good,0
28,182.592,Dark Brown,Excelent,0
6,211.406,Blonde with Dark Tips,Excelent,0
27,171.755,Blonde,Great,0
6,223.83,Blonde,Excelent,0
15,224.162,Blonde with Dark Tips,Excelent,0
12,204.592,Reddish-Brown,Good,0
26,170.641,Blonde with Dark Tips,Great,0
1,191.185,Sandy,Poor,0
24,182.791,Dark Brown,Poor,0
17,194.214,Blonde,Good,0
13,220.989,Blonde with Dark Tips,Great,0
1,217.455,Reddish-Brown,Poor,0
20,176.599,Blonde with Dark Tips,Great,0
17,172.004,Blonde,Great,0
26,208.628,Black,Great,0
19,171.065,Dark Brown,Good,0
11,195.09,Black,Good,0
16,226.767,Blonde,Good,0
26,222.234,Black,Great,0
27,195.134,Blonde,Great,0
27,174.106,Blonde,Excelent,0
8,228.387,Reddish-Brown,Great,0
17,185.477,Blonde,Excelent,0
15,222.715,Black,Good,0
5,171.921,Sandy,Good,0
5,207.944,Blonde with Dark Tips,Excelent,0
