age,weight,mane_color,health,alpha
10,184.76,Blonde with Dark Tips,Great,0
4,222.649,Blonde,Good,0
14,223.749,Reddish-Brown,Poor,0
16,225.066,Blonde,Poor,0
8,212.596,Blonde with Dark Tips,Excelent,0
23,171.526,Blonde,Good,0
13,227.773,Dark Brown,Good,0
25,201.802,Sandy,Good,0
2,219.177,Blonde,Poor,0
6,217.044,Blonde with Dark Tips,Poor,0
28,220.642,Dark Brown,Excelent,0
9,179.579,Reddish-Brown,Excelent,0
16,208.999,Reddish-Brown,Good,0
14,210.774,Blonde,Poor,0
5,208.084,Dark Brown,Great,0
25,222.922,Blonde,Good,0
27,220.247,Dark Brown,Poor,0
14,207.224,Blonde,Excelent,0
16,182.354,Blonde with Dark Tips,Excelent,0
28,214.144,Blonde,Great,0
27,186.423,Blonde,Great,0
13,228.113,Blonde,Good,0
28,208.737,Blonde,Good,0
21,210.888,Dark Brown,Excelent,0
26,179.503,Blonde,Good,0
1,183.263,Blonde,Excelent,0
6,181.418,Blonde with Dark Tips,Great,0
5,214.281,Blonde,Great,0
1,210.626,Sandy,Great,0
22,183.761,Blonde,Great,0
6,187.529,Sandy,Good,0
7,229.196,Blonde,Excelent,0
27,228.343,Reddish-Brown,Excelent,0
27,178.534,Blonde with Dark Tips,Great,0
15,198.773,Blonde with Dark Tips,Poor,0
24,194.558,Blonde,Excelent,0
29,181.745,Reddish-Brown,Great,0
28,209.124,Reddish-Brown,Great,0
19,193.992,Blonde,Great,0
12,189.122,Black,Great,0
3,189.863,Black,Great,0
23,211.757,Reddish-Brown,Great,0
18,223.308,Dark Brown,Great,0
21,170.94,Sandy,Good,0
23,223.247,Black,Excelent,0
4,203.142,Blonde,Great,0
8,177.874,Dark Brown,Great,0
11,206.907,Black,Excelent,0
11,221.633,Sandy,Excelent,0
19,223.022,Blonde with Dark Tips,Poor,0
29,171.314,Blonde with Dark Tips,Good,0
14,217.729,Reddish-Brown,Excelent,0
15,188.574,Sandy,Good,0
11,196.976,Blonde,Great,0
11,227.355,Blonde,Excelent,0
3,178.27,Blonde with Dark Tips,Poor,0
20,186.427,Blonde,Poor,0
11,170.85,Blonde with Dark Tips,Great,0
11,175.093,Blonde with Dark Tips,Good,0
22,181.411,Blonde with Dark Tips,Good,0
5,203.562,Reddish-Brown,Poor,0
4,207.241,Sandy,Good,0
22,174.371,Dark Brown,Great,0
18,191.928,Blonde,Great,0
24,195.886,Sandy,Good,0
24,182.895,Reddish-Brown,Excelent,0
6,174.689,Dark Brown,Great,0
5,212.966,Blonde with Dark Tips,Good,0
18,185.985,Blonde with Dark Tips,Good,0
28,227.548,Blonde,Great,0
28,174.419,Sandy,Great,0
16,211.164,Reddish-Brown,Good,0
24,194.258,Blonde,Excelent,0
19,191.085,Dark Brown,Poor,0
7,205.034,Dark Brown,Great,0
12,186.243,Blonde,Good,0
13,192.041,Black,Excelent,0
3,178.312,Sandy,Poor,0
