age,parrot_name,number_of_words
29,Rose-ringed parakeet,53
34,Budgerigar,66
2,Rose-ringed parakeet,12
49,Budgerigar,82
39,Budgerigar,67
58,Eclectus,95
22,Budgerigar,47
7,Eclectus,12
13,Budgerigar,29
31,Eclectus,63
12,Budgerigar,28
40,Eclectus,65
1,Rose-ringed parakeet,16
19,Budgerigar,38
58,Rose-ringed parakeet,92
35,Eclectus,67
50,Eclectus,90
10,Rose-ringed parakeet,14
48,Budgerigar,81
28,Budgerigar,50
45,Rose-ringed parakeet,77
2,Eclectus,15
22,Budgerigar,40
50,Rose-ringed parakeet,81
15,Budgerigar,23
51,Rose-ringed parakeet,88
47,Budgerigar,83
38,Eclectus,67
22,Budgerigar,49
40,Budgerigar,62
46,Eclectus,90
21,Rose-ringed parakeet,48
46,Budgerigar,90
24,Rose-ringed parakeet,46
8,Rose-ringed parakeet,10
30,Budgerigar,59
37,Budgerigar,70
1,Eclectus,13
60,Eclectus,93
59,Budgerigar,92
41,Eclectus,72
46,Eclectus,80
39,Eclectus,64
57,Rose-ringed parakeet,95
43,Budgerigar,76
30,Budgerigar,52
35,Budgerigar,66
34,Eclectus,65
41,Eclectus,75
60,Eclectus,96
34,Rose-ringed parakeet,69
15,Rose-ringed parakeet,21
36,Budgerigar,65
18,Budgerigar,38
27,Rose-ringed parakeet,53
5,Rose-ringed parakeet,12
18,Rose-ringed parakeet,39
52,Budgerigar,89
25,Eclectus,47
45,Eclectus,79
49,Budgerigar,85
45,Budgerigar,75
56,Rose-ringed parakeet,99
55,Rose-ringed parakeet,83
40,Rose-ringed parakeet,66
44,Rose-ringed parakeet,77
24,Rose-ringed parakeet,40
41,Rose-ringed parakeet,80
50,Eclectus,83
57,Eclectus,92
39,Budgerigar,60
40,Rose-ringed parakeet,65
47,Rose-ringed parakeet,87
31,Budgerigar,60
9,Eclectus,20
60,Eclectus,93
8,Budgerigar,10
49,Rose-ringed parakeet,86
27,Eclectus,51
40,Eclectus,61
51,Budgerigar,81
9,Rose-ringed parakeet,13
8,Budgerigar,20
12,Eclectus,23
56,Budgerigar,93
59,Eclectus,98
22,Rose-ringed parakeet,43
49,Rose-ringed parakeet,86
48,Eclectus,85
29,Eclectus,52
48,Eclectus,81
9,Eclectus,15
16,Eclectus,39
55,Eclectus,81
44,Rose-ringed parakeet,78
17,Rose-ringed parakeet,40
23,Rose-ringed parakeet,43
2,Rose-ringed parakeet,16
50,Rose-ringed parakeet,87
57,Eclectus,99
56,Eclectus,90
26,Rose-ringed parakeet,57
42,Eclectus,77
14,Rose-ringed parakeet,28
10,Eclectus,13
27,Budgerigar,56
56,Eclectus,92
18,Rose-ringed parakeet,33
12,Budgerigar,22
3,Rose-ringed parakeet,10
55,Budgerigar,82
19,Rose-ringed parakeet,33
58,Eclectus,95
19,Rose-ringed parakeet,30
48,Eclectus,84
4,Budgerigar,15
18,Rose-ringed parakeet,36
29,Eclectus,55
37,Budgerigar,70
21,Budgerigar,49
10,Rose-ringed parakeet,15
14,Budgerigar,20
11,Eclectus,22
41,Eclectus,70
12,Eclectus,27
29,Eclectus,52
31,Budgerigar,63
43,Rose-ringed parakeet,77
55,Eclectus,86
59,Budgerigar,90
58,Budgerigar,100
57,Budgerigar,96
29,Rose-ringed parakeet,53
24,Eclectus,49
12,Eclectus,23
44,Rose-ringed parakeet,76
4,Rose-ringed parakeet,16
60,Budgerigar,93
8,Budgerigar,18
41,Rose-ringed parakeet,72
3,Eclectus,18
1,Budgerigar,20
4,Eclectus,11
25,Budgerigar,49
21,Rose-ringed parakeet,48
23,Budgerigar,49
13,Eclectus,23
49,Budgerigar,85
22,Budgerigar,42
45,Budgerigar,78
58,Eclectus,93
27,Budgerigar,50
9,Budgerigar,13
19,Rose-ringed parakeet,33
51,Rose-ringed parakeet,82
36,Rose-ringed parakeet,70
26,Rose-ringed parakeet,55
27,Budgerigar,56
46,Eclectus,81
47,Eclectus,89
49,Rose-ringed parakeet,85
26,Budgerigar,59
15,Eclectus,29
49,Rose-ringed parakeet,85
50,Rose-ringed parakeet,86
18,Budgerigar,31
28,Budgerigar,56
37,Eclectus,65
48,Rose-ringed parakeet,83
35,Budgerigar,66
42,Eclectus,72
45,Rose-ringed parakeet,75
54,Eclectus,86
55,Budgerigar,87
55,Eclectus,81
49,Budgerigar,83
13,Budgerigar,25
39,Rose-ringed parakeet,62
49,Budgerigar,89
30,Eclectus,59
45,Budgerigar,76
13,Rose-ringed parakeet,26
2,Eclectus,16
53,Eclectus,86
2,Budgerigar,16
44,Eclectus,79
26,Rose-ringed parakeet,51
60,Rose-ringed parakeet,100
42,Budgerigar,79
11,Budgerigar,23
50,Rose-ringed parakeet,90
31,Rose-ringed parakeet,60
44,Rose-ringed parakeet,74
39,Rose-ringed parakeet,64
18,Rose-ringed parakeet,36
56,Rose-ringed parakeet,91
36,Eclectus,65
3,Budgerigar,19
45,Eclectus,75
1,Rose-ringed parakeet,19
45,Budgerigar,72
57,Eclectus,98
30,Rose-ringed parakeet,57
22,Budgerigar,47
42,Rose-ringed parakeet,76
11,Budgerigar,28
14,Budgerigar,26
30,Eclectus,51
60,Rose-ringed parakeet,95
53,Budgerigar,80
11,Eclectus,22
54,Eclectus,84
34,Budgerigar,68
22,Eclectus,47
15,Rose-ringed parakeet,27
39,Budgerigar,63
20,Eclectus,39
41,Eclectus,78
2,Rose-ringed parakeet,12
52,Rose-ringed parakeet,81
20,Eclectus,30
59,Rose-ringed parakeet,94
51,Budgerigar,90
40,Rose-ringed parakeet,66
8,Budgerigar,13
32,Budgerigar,67
54,Eclectus,83
9,Rose-ringed parakeet,18
26,Rose-ringed parakeet,50
60,Budgerigar,91
33,Rose-ringed parakeet,62
22,Budgerigar,44
48,Budgerigar,84
2,Eclectus,13
21,Rose-ringed parakeet,41
12,Budgerigar,25
8,Rose-ringed parakeet,10
54,Eclectus,89
49,Budgerigar,80
52,Eclectus,82
51,Eclectus,87
23,Eclectus,40
58,Budgerigar,96
47,Budgerigar,85
10,Rose-ringed parakeet,12
29,Eclectus,58
39,Budgerigar,66
34,Budgerigar,63
4,Rose-ringed parakeet,18
12,Rose-ringed parakeet,29
20,Rose-ringed parakeet,33
3,Rose-ringed parakeet,10
34,Budgerigar,61
18,Eclectus,36
10,Eclectus,18
30,Rose-ringed parakeet,57
50,Rose-ringed parakeet,88
52,Eclectus,86
58,Eclectus,96
57,Budgerigar,100
49,Rose-ringed parakeet,82
40,Rose-ringed parakeet,68
55,Budgerigar,89
55,Rose-ringed parakeet,87
25,Eclectus,41
18,Budgerigar,37
59,Eclectus,94
24,Rose-ringed parakeet,45
30,Budgerigar,54
15,Rose-ringed parakeet,28
57,Eclectus,90
49,Budgerigar,90
13,Eclectus,25
17,Budgerigar,34
22,Eclectus,40
58,Budgerigar,99
53,Eclectus,80
31,Budgerigar,64
6,Rose-ringed parakeet,19
58,Eclectus,96
14,Rose-ringed parakeet,26
14,Eclectus,29
49,Eclectus,87
10,Rose-ringed parakeet,12
49,Rose-ringed parakeet,87
53,Budgerigar,85
56,Budgerigar,95
30,Rose-ringed parakeet,53
12,Budgerigar,21
24,Budgerigar,49
11,Eclectus,22
10,Budgerigar,11
29,Budgerigar,54
22,Eclectus,40
37,Eclectus,60
9,Rose-ringed parakeet,12
18,Rose-ringed parakeet,34
28,Budgerigar,57
50,Rose-ringed parakeet,84
49,Eclectus,90
14,Rose-ringed parakeet,26
56,Rose-ringed parakeet,91
19,Budgerigar,39
21,Budgerigar,48
6,Budgerigar,10
50,Eclectus,81
28,Rose-ringed parakeet,51
26,Budgerigar,60
37,Rose-ringed parakeet,63
4,Eclectus,18
52,Rose-ringed parakeet,89
38,Eclectus,64
45,Eclectus,72
60,Budgerigar,90
51,Rose-ringed parakeet,80
18,Rose-ringed parakeet,36
2,Budgerigar,10
29,Eclectus,55
46,Budgerigar,84
23,Eclectus,46
58,Rose-ringed parakeet,100
28,Budgerigar,54
57,Eclectus,92
11,Eclectus,24
57,Budgerigar,97
48,Budgerigar,88
35,Budgerigar,61
49,Budgerigar,83
42,Budgerigar,71
39,Rose-ringed parakeet,65
28,Budgerigar,59
16,Rose-ringed parakeet,40
43,Eclectus,78
38,Rose-ringed parakeet,70
16,Rose-ringed parakeet,35
58,Budgerigar,92
53,Eclectus,86
11,Eclectus,23
19,Budgerigar,38
21,Rose-ringed parakeet,46
47,Rose-ringed parakeet,89
32,Budgerigar,65
56,Budgerigar,97
33,Rose-ringed parakeet,60
44,Eclectus,79
10,Rose-ringed parakeet,14
55,Eclectus,90
28,Budgerigar,52
2,Rose-ringed parakeet,18
20,Rose-ringed parakeet,39
55,Rose-ringed parakeet,80
45,Eclectus,71
43,Rose-ringed parakeet,76
30,Budgerigar,52
45,Eclectus,74
1,Budgerigar,18
52,Rose-ringed parakeet,81
2,Budgerigar,16
12,Budgerigar,28
11,Rose-ringed parakeet,21
25,Budgerigar,40
20,Budgerigar,37
52,Rose-ringed parakeet,88
19,Budgerigar,33
29,Budgerigar,52
4,Budgerigar,15
49,Budgerigar,86
45,Rose-ringed parakeet,77
10,Budgerigar,10
55,Eclectus,82
57,Eclectus,93
38,Budgerigar,63
55,Rose-ringed parakeet,90
10,Budgerigar,19
53,Eclectus,80
3,Eclectus,17
51,Eclectus,84
46,Eclectus,88
38,Rose-ringed parakeet,60
24,Budgerigar,46
26,Eclectus,52
27,Rose-ringed parakeet,52
11,Budgerigar,29
49,Budgerigar,81
39,Budgerigar,60
18,Eclectus,33
